ID_Cliente,Produto,Categoria,Marca,Intervalo_Medio_Habito,Dias_Desde_Ultima_Compra,Total_Compras_Historico,Preco_Unitario,Target_Dias_Restantes,Data_Ultima_Compra
10026,Multivitamínico (60 cápsulas),Suplementos,Centrum,120.0,98,4,18.9,8.9,2026-02-13
10026,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,60.3,36,8,22.5,28.4,2026-04-16
10027,Desodorizante Antitranspirante,Higiene,Rexona,26.3,17,8,5.99,9.7,2026-05-05
10027,Gel Higienizante 500ml,Higiene,Marca Própria,39.2,44,5,4.99,-6.2,2026-04-08
10028,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,97.2,115,5,12.5,-17.3,2026-01-27
10028,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,332.0,83,6,15.99,239.1,2026-02-28
10028,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,65.1,49,10,28.99,15.0,2026-04-03
10028,Óculos de Sol UV,Óptica,Ray-Ban,184.4,83,10,89.99,103.2,2026-02-28
10029,Multivitamínico (60 cápsulas),Suplementos,Centrum,61.4,10,9,18.9,58.8,2026-05-12
10029,Óculos de Sol UV,Óptica,Ray-Ban,178.8,102,6,89.99,74.2,2026-02-09
10029,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,81.8,10,7,22.5,67.8,2026-05-12
10030,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,85.3,123,4,12.5,-40.2,2026-01-19
10030,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,64.0,59,6,28.99,9.6,2026-03-24
10031,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,43.6,30,6,12.5,15.2,2026-04-22
10031,Lentes de Contacto (30 unidades),Óptica,Acuvue,33.3,7,7,24.99,23.7,2026-05-15
10031,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,28.6,7,8,3.99,24.1,2026-05-15
10032,Desodorizante Antitranspirante,Higiene,Rexona,19.6,4,8,5.99,16.1,2026-05-18
10032,Gel Higienizante 500ml,Higiene,Marca Própria,29.8,22,5,4.99,12.6,2026-04-30
10033,Multivitamínico (60 cápsulas),Suplementos,Centrum,62.8,58,7,18.9,1.3,2026-03-25
10033,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,63.0,58,5,22.5,3.4,2026-03-25
10034,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,88.4,45,6,12.5,41.4,2026-04-07
10034,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,63.1,45,8,28.99,10.8,2026-04-07
10035,Multivitamínico (60 cápsulas),Suplementos,Centrum,59.3,18,8,18.9,42.8,2026-05-04
10035,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,59.3,18,8,22.5,42.6,2026-05-04
10036,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,136.3,50,8,12.5,86.3,2026-04-02
10036,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,95.4,50,11,15.99,38.3,2026-04-02
10036,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,28.4,26,9,3.99,0.3,2026-04-26
10036,Óculos de Sol UV,Óptica,Ray-Ban,171.4,147,6,89.99,22.7,2025-12-26
10037,Multivitamínico (60 cápsulas),Suplementos,Centrum,57.0,3,6,18.9,50.0,2026-05-19
10037,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,75.3,62,4,22.5,12.5,2026-03-21
10038,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,41.5,38,3,12.5,5.5,2026-04-14
10038,Gel Higienizante 500ml,Higiene,Marca Própria,45.5,22,5,4.99,32.9,2026-04-30
10038,Lentes de Contacto (30 unidades),Óptica,Acuvue,26.0,22,8,24.99,4.9,2026-04-30
10038,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,45.5,22,5,3.99,24.8,2026-04-30
10038,Tónico Facial 200ml,Dermocosmética,Wells Care,40.8,38,5,9.99,2.4,2026-04-14
10039,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,70.4,41,8,12.5,19.8,2026-04-11
10039,Desodorizante Antitranspirante,Higiene,Rexona,18.1,17,8,5.99,1.0,2026-05-05
10039,Gel Higienizante 500ml,Higiene,Marca Própria,17.9,17,9,4.99,1.2,2026-05-05
10039,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,54.8,41,10,28.99,26.1,2026-04-11
