ID_Transacao,Produto,Categoria,Marca,Preco_Unitario,Quantidade
100046,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100046,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100047,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100048,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100049,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100049,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100050,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100050,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100051,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100051,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100052,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100052,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100053,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100054,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100054,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100055,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100055,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100056,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100057,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100057,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100058,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100059,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100059,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100060,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100060,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100061,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100062,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100063,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100063,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100064,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100065,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100066,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100066,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100066,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100067,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100068,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100068,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100068,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100069,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,2
100069,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100069,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100070,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,2
100071,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100071,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100072,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100072,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100073,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,2
100074,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100074,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100075,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,2
100076,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,2
100077,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100078,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100078,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100079,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100080,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100080,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100080,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100081,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100081,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100081,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100082,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100083,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100083,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100083,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100084,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100084,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100085,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100085,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100085,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100086,Proteína em Pó 500g,Suplementos,Whey Gold,35.99,2
100086,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100087,Proteína em Pó 500g,Suplementos,Whey Gold,35.99,1
100088,Proteína em Pó 500g,Suplementos,Whey Gold,35.99,1
100088,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100089,Proteína em Pó 500g,Suplementos,Whey Gold,35.99,1
100089,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100090,Proteína em Pó 500g,Suplementos,Whey Gold,35.99,1
100090,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100091,Proteína em Pó 500g,Suplementos,Whey Gold,35.99,2
100091,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100092,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100092,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100093,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100093,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100094,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,2
100094,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100095,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100095,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100095,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100096,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100096,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100097,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,2
100098,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100098,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100099,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100099,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100100,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100101,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100102,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,2
100102,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100103,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100103,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100104,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100104,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100105,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,2
100106,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100107,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100107,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100107,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100108,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,2
100109,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,2
100109,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100109,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100110,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,2
100110,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100111,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100112,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100112,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100113,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,1
100114,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100114,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100115,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100115,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100116,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100116,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100117,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100117,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,22.5,1
100118,Multivitamínico (60 cápsulas),Suplementos,Centrum,18.9,2
100119,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100120,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100120,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100121,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,2
100122,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100122,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100123,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100123,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100124,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100124,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100125,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100125,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100126,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100127,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100127,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100128,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100129,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100130,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,2
100130,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100131,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100131,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100131,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100132,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,2
100133,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100133,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100134,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100134,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100135,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,2
100136,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,2
100136,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100136,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100137,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,2
100137,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100138,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100138,Óculos de Sol UV,Óptica,Ray-Ban,89.99,1
100138,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100139,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100140,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100140,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100141,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100141,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100142,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100142,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100143,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,2
100143,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100144,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100145,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100146,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100146,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100147,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100147,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100148,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100148,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100149,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100149,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100150,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100151,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100151,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100152,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100152,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100153,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100153,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100154,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100154,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100155,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100155,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100156,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100156,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100157,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100158,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100158,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100159,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100159,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100160,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100160,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,28.99,1
100160,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100161,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100162,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,2
100162,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,15.99,1
100162,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100163,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100163,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100163,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100164,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100165,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100166,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,2
100167,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100167,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100167,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100168,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100168,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100169,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100169,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100170,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100170,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100171,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100171,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100172,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100173,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100173,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100174,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100174,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100175,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100176,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100176,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100177,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100177,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100178,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,2
100179,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100179,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100180,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100181,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,2
100182,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,2
100182,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100183,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,2
100183,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100184,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100185,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100186,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100186,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100187,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100187,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100188,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,2
100189,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,2
100189,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100190,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100191,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100192,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100192,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100193,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100193,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100194,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,2
100195,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,2
100195,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100196,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,2
100196,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100197,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,3.99,1
100197,Lentes de Contacto (30 unidades),Óptica,Acuvue,24.99,1
100198,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100198,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100199,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100199,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100200,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100200,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100201,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100202,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100202,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100203,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100203,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100204,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,1
100204,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100205,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100205,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100206,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100207,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100207,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100208,Tónico Facial 200ml,Dermocosmética,Wells Care,9.99,2
100208,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,12.5,1
100209,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100209,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100210,Desodorizante Antitranspirante,Higiene,Rexona,5.99,1
100210,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
100211,Desodorizante Antitranspirante,Higiene,Rexona,5.99,2
100211,Gel Higienizante 500ml,Higiene,Marca Própria,4.99,1
