ID_Transacao,ID_Cliente,Data,Loja
100215,10018,2025-10-31,Coimbra-Alma
100216,10018,2025-10-01,Online
100217,10018,2025-08-30,Lisboa-Rossio
100218,10018,2025-07-31,Porto-NorteShopping
100219,10019,2026-05-16,Porto-NorteShopping
100220,10019,2026-03-30,Lisboa-Rossio
100221,10019,2026-02-13,Online
100222,10019,2025-12-31,Online
100223,10019,2025-11-15,Online
100224,10019,2025-10-02,Online
100225,10019,2026-04-15,Coimbra-Alma
100226,10019,2026-02-12,Coimbra-Alma
100227,10019,2025-12-10,Porto-NorteShopping
100228,10019,2025-10-10,Online
100229,10019,2025-08-07,Online
100230,10019,2025-06-05,Lisboa-Rossio
100231,10019,2025-04-06,Online
100232,10020,2026-05-14,Online
100233,10020,2026-04-27,Coimbra-Alma
100234,10020,2026-04-11,Porto-NorteShopping
100235,10020,2026-03-28,Porto-NorteShopping
100236,10020,2026-03-14,Coimbra-Alma
100237,10020,2026-02-28,Porto-NorteShopping
100238,10020,2026-02-11,Porto-NorteShopping
100239,10020,2026-01-27,Online
100240,10021,2026-04-28,Porto-NorteShopping
100241,10021,2026-04-07,Coimbra-Alma
100242,10021,2026-03-19,Lisboa-Rossio
100243,10021,2026-02-28,Porto-NorteShopping
100244,10021,2026-02-08,Porto-NorteShopping
100245,10021,2026-01-18,Lisboa-Rossio
100246,10021,2026-04-20,Online
100247,10021,2025-10-17,Lisboa-Rossio
100248,10021,2025-04-16,Porto-NorteShopping
100249,10021,2024-10-12,Coimbra-Alma
100250,10021,2024-04-10,Online
100251,10021,2023-10-11,Porto-NorteShopping
100252,10021,2023-04-11,Lisboa-Rossio
100253,10021,2022-10-11,Lisboa-Rossio
100254,10021,2022-04-12,Lisboa-Rossio
100255,10022,2026-03-31,Lisboa-Rossio
100256,10022,2026-01-27,Online
100257,10022,2025-11-23,Coimbra-Alma
100258,10022,2025-09-17,Porto-NorteShopping
100259,10022,2025-07-16,Porto-NorteShopping
100260,10022,2025-05-12,Porto-NorteShopping
100261,10022,2025-03-09,Coimbra-Alma
100262,10022,2025-01-04,Lisboa-Rossio
100263,10022,2024-10-29,Online
100264,10023,2026-04-14,Coimbra-Alma
100265,10023,2026-02-24,Online
100266,10023,2026-01-07,Online
100267,10023,2025-11-20,Lisboa-Rossio
100268,10023,2025-10-05,Lisboa-Rossio
100269,10023,2025-08-18,Porto-NorteShopping
100270,10023,2025-07-03,Porto-NorteShopping
100271,10023,2025-05-15,Lisboa-Rossio
100272,10024,2026-02-24,Lisboa-Rossio
100273,10024,2025-08-25,Porto-NorteShopping
100274,10024,2025-02-24,Porto-NorteShopping
100275,10024,2024-08-29,Lisboa-Rossio
100276,10024,2024-03-03,Lisboa-Rossio
100277,10024,2023-09-04,Porto-NorteShopping
100278,10024,2023-03-07,Coimbra-Alma
100279,10024,2022-09-07,Porto-NorteShopping
100280,10024,2022-03-09,Coimbra-Alma
100281,10025,2026-05-14,Porto-NorteShopping
100282,10025,2026-04-26,Online
100283,10025,2026-04-04,Online
100284,10025,2026-03-16,Porto-NorteShopping
100285,10025,2026-02-24,Porto-NorteShopping
100286,10025,2026-02-06,Lisboa-Rossio
100287,10025,2026-01-18,Online
100288,10025,2025-12-29,Coimbra-Alma
100289,10025,2025-12-11,Porto-NorteShopping
100290,10026,2026-04-12,Coimbra-Alma
100291,10026,2026-02-09,Lisboa-Rossio
100292,10026,2025-12-09,Online
100293,10026,2025-10-11,Coimbra-Alma
100294,10026,2025-08-14,Porto-NorteShopping
100295,10026,2025-06-14,Lisboa-Rossio
100296,10026,2025-04-17,Lisboa-Rossio
100297,10026,2025-02-14,Porto-NorteShopping
100298,10027,2026-05-01,Porto-NorteShopping
100299,10027,2026-04-04,Online
100300,10027,2026-03-09,Lisboa-Rossio
100301,10027,2026-02-12,Coimbra-Alma
100302,10027,2026-01-17,Coimbra-Alma
100303,10027,2025-12-23,Lisboa-Rossio
100304,10027,2025-11-26,Coimbra-Alma
100305,10027,2025-10-29,Porto-NorteShopping
100306,10028,2026-03-30,Coimbra-Alma
100307,10028,2026-01-23,Online
100308,10028,2025-11-18,Online
100309,10028,2025-09-14,Online
100310,10028,2025-07-12,Porto-NorteShopping
100311,10028,2025-05-10,Online
100312,10028,2025-03-04,Lisboa-Rossio
100313,10028,2024-12-30,Online
100314,10028,2024-10-26,Online
100315,10028,2024-08-21,Coimbra-Alma
100316,10028,2026-02-24,Online
100317,10028,2025-08-23,Lisboa-Rossio
100318,10028,2025-02-20,Lisboa-Rossio
100319,10028,2024-08-21,Coimbra-Alma
100320,10028,2024-02-17,Coimbra-Alma
100321,10028,2023-08-18,Lisboa-Rossio
100322,10028,2023-02-14,Porto-NorteShopping
100323,10028,2022-08-13,Lisboa-Rossio
100324,10028,2022-02-08,Porto-NorteShopping
100325,10028,2021-08-09,Porto-NorteShopping
100326,10029,2026-05-08,Lisboa-Rossio
100327,10029,2026-03-08,Porto-NorteShopping
100328,10029,2026-01-05,Lisboa-Rossio
100329,10029,2025-11-06,Coimbra-Alma
100330,10029,2025-09-07,Lisboa-Rossio
100331,10029,2025-07-06,Coimbra-Alma
100332,10029,2025-05-06,Coimbra-Alma
100333,10029,2025-03-07,Lisboa-Rossio
100334,10029,2025-01-02,Coimbra-Alma
100335,10029,2026-02-05,Porto-NorteShopping
100336,10029,2025-08-10,Porto-NorteShopping
100337,10029,2025-02-11,Lisboa-Rossio
100338,10029,2024-08-17,Porto-NorteShopping
100339,10029,2024-02-21,Porto-NorteShopping
100340,10029,2023-08-26,Coimbra-Alma
100341,10030,2026-03-20,Porto-NorteShopping
100342,10030,2026-01-15,Online
100343,10030,2025-11-11,Online
100344,10030,2025-09-08,Lisboa-Rossio
100345,10030,2025-07-05,Online
100346,10030,2025-05-04,Porto-NorteShopping
100347,10031,2026-04-18,Lisboa-Rossio
100348,10031,2026-03-04,Coimbra-Alma
100349,10031,2026-01-21,Coimbra-Alma
100350,10031,2025-12-07,Porto-NorteShopping
100351,10031,2025-10-25,Online
100352,10031,2025-09-12,Coimbra-Alma
100353,10031,2026-05-11,Coimbra-Alma
100354,10031,2026-04-11,Porto-NorteShopping
100355,10031,2026-03-11,Lisboa-Rossio
100356,10031,2026-02-09,Lisboa-Rossio
100357,10031,2026-01-13,Coimbra-Alma
100358,10031,2025-12-17,Online
100359,10031,2025-11-19,Online
100360,10031,2025-10-23,Coimbra-Alma
100361,10032,2026-05-14,Coimbra-Alma
100362,10032,2026-04-26,Coimbra-Alma
100363,10032,2026-04-08,Online
100364,10032,2026-03-18,Lisboa-Rossio
100365,10032,2026-02-25,Coimbra-Alma
100366,10032,2026-02-04,Online
100367,10032,2026-01-16,Lisboa-Rossio
100368,10032,2025-12-28,Lisboa-Rossio
100369,10033,2026-03-21,Porto-NorteShopping
100370,10033,2026-01-16,Lisboa-Rossio
100371,10033,2025-11-15,Porto-NorteShopping
100372,10033,2025-09-13,Online
100373,10033,2025-07-12,Coimbra-Alma
100374,10033,2025-05-12,Lisboa-Rossio
100375,10033,2025-03-09,Coimbra-Alma
100376,10034,2026-04-03,Lisboa-Rossio
100377,10034,2026-01-28,Coimbra-Alma
100378,10034,2025-11-25,Porto-NorteShopping
100379,10034,2025-09-25,Lisboa-Rossio
100380,10034,2025-07-22,Lisboa-Rossio
100381,10034,2025-05-22,Online
100382,10034,2025-03-19,Porto-NorteShopping
100383,10034,2025-01-16,Lisboa-Rossio
100384,10035,2026-04-30,Lisboa-Rossio
100385,10035,2026-03-04,Online
100386,10035,2026-01-04,Online
100387,10035,2025-11-07,Porto-NorteShopping
100388,10035,2025-09-07,Porto-NorteShopping
100389,10035,2025-07-09,Lisboa-Rossio
100390,10035,2025-05-10,Lisboa-Rossio
100391,10035,2025-03-11,Coimbra-Alma
100392,10036,2026-03-29,Coimbra-Alma
100393,10036,2025-12-22,Coimbra-Alma
100394,10036,2025-09-16,Online
100395,10036,2025-06-12,Porto-NorteShopping
100396,10036,2025-03-10,Lisboa-Rossio
100397,10036,2024-12-06,Online
100398,10036,2024-09-04,Porto-NorteShopping
100399,10036,2024-05-31,Porto-NorteShopping
100400,10036,2024-02-25,Coimbra-Alma
100401,10036,2023-11-20,Porto-NorteShopping
100402,10036,2023-08-18,Coimbra-Alma
100403,10036,2026-04-22,Coimbra-Alma
100404,10036,2026-03-23,Coimbra-Alma
100405,10036,2026-02-23,Online
100406,10036,2026-01-26,Lisboa-Rossio
100407,10036,2025-12-27,Porto-NorteShopping
100408,10036,2025-11-30,Porto-NorteShopping
100409,10036,2025-11-01,Coimbra-Alma
100410,10036,2025-10-04,Lisboa-Rossio
100411,10036,2025-09-07,Porto-NorteShopping
100412,10037,2026-05-15,Porto-NorteShopping
100413,10037,2026-03-17,Porto-NorteShopping
100414,10037,2026-01-21,Coimbra-Alma
100415,10037,2025-11-27,Online
100416,10037,2025-09-30,Lisboa-Rossio
100417,10037,2025-08-03,Lisboa-Rossio
100418,10038,2026-04-26,Porto-NorteShopping
100419,10038,2026-03-30,Coimbra-Alma
100420,10038,2026-03-02,Lisboa-Rossio
100421,10038,2026-02-05,Porto-NorteShopping
100422,10038,2026-01-12,Coimbra-Alma
100423,10038,2025-12-17,Coimbra-Alma
100424,10038,2025-11-19,Coimbra-Alma
100425,10038,2025-10-26,Lisboa-Rossio
100426,10038,2026-04-10,Lisboa-Rossio
100427,10038,2026-02-26,Porto-NorteShopping
100428,10038,2026-01-17,Online
100429,10038,2025-12-08,Lisboa-Rossio
100430,10038,2025-10-29,Lisboa-Rossio
100431,10039,2026-04-07,Porto-NorteShopping
100432,10039,2026-02-12,Porto-NorteShopping
100433,10039,2025-12-18,Porto-NorteShopping
100434,10039,2025-10-24,Porto-NorteShopping
100435,10039,2025-08-31,Porto-NorteShopping
100436,10039,2025-07-08,Lisboa-Rossio
100437,10039,2025-05-16,Coimbra-Alma
100438,10039,2025-03-20,Coimbra-Alma
100439,10039,2025-01-26,Lisboa-Rossio
100440,10039,2024-11-30,Porto-NorteShopping
100441,10039,2026-05-01,Coimbra-Alma
100442,10039,2026-04-11,Online
100443,10039,2026-03-24,Online
100444,10039,2026-03-07,Porto-NorteShopping
100445,10039,2026-02-17,Porto-NorteShopping
100446,10039,2026-02-01,Online
100447,10039,2026-01-12,Lisboa-Rossio
100448,10039,2025-12-25,Online
100449,10039,2025-12-09,Coimbra-Alma
