ID_Cliente,Produto,Categoria,Marca,Intervalo_Medio_Habito,Dias_Desde_Ultima_Compra,Total_Compras_Historico,Preco_Unitario,Target_Dias_Restantes,Data_Ultima_Compra
10018,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,47.9,9,9,12.5,38.9,2026-05-11
10018,Desodorizante Antitranspirante,Higiene,Rexona,30.3,20,10,5.99,10.3,2026-04-30
10018,Gel Higienizante 500ml,Higiene,Marca Própria,40.5,20,7,4.99,20.5,2026-04-30
10018,Tónico Facial 200ml,Dermocosmética,Wells Care,38.3,9,11,9.99,29.3,2026-05-11
10019,Multivitamínico (60 cápsulas),Suplementos,Centrum,36.8,4,12,18.9,32.8,2026-05-16
10019,Proteína em Pó 500g,Suplementos,Whey Gold,45.2,4,6,35.99,41.2,2026-05-16
10020,Gel Higienizante 500ml,Higiene,Marca Própria,15.3,6,8,4.99,9.3,2026-05-14
10021,Desodorizante Antitranspirante,Higiene,Rexona,20.0,22,6,5.99,-2.0,2026-04-28
10021,Gel Higienizante 500ml,Higiene,Marca Própria,20.0,22,6,4.99,-2.0,2026-04-28
10021,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,244.8,30,7,15.99,214.8,2026-04-20
10021,Óculos de Sol UV,Óptica,Ray-Ban,183.6,30,9,89.99,153.6,2026-04-20
10022,Multivitamínico (60 cápsulas),Suplementos,Centrum,172.7,50,4,18.9,122.7,2026-03-31
10022,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,64.8,50,9,22.5,14.8,2026-03-31
10023,Multivitamínico (60 cápsulas),Suplementos,Centrum,57.0,36,6,18.9,21.0,2026-04-14
10023,Proteína em Pó 500g,Suplementos,Whey Gold,47.7,36,8,35.99,11.7,2026-04-14
10024,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,289.6,85,6,15.99,204.6,2026-02-24
10024,Óculos de Sol UV,Óptica,Ray-Ban,181.0,85,9,89.99,96.0,2026-02-24
10025,Desodorizante Antitranspirante,Higiene,Rexona,25.7,6,7,5.99,19.7,2026-05-14
10025,Gel Higienizante 500ml,Higiene,Marca Própria,19.2,6,9,4.99,13.2,2026-05-14
10026,Multivitamínico (60 cápsulas),Suplementos,Centrum,120.0,100,4,18.9,20.0,2026-02-09
10026,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,60.3,38,8,22.5,22.3,2026-04-12
10027,Desodorizante Antitranspirante,Higiene,Rexona,26.3,19,8,5.99,7.3,2026-05-01
10027,Gel Higienizante 500ml,Higiene,Marca Própria,39.2,46,5,4.99,-6.8,2026-04-04
10028,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,97.2,117,5,12.5,-19.8,2026-01-23
10028,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,332.0,85,6,15.99,247.0,2026-02-24
10028,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,65.1,51,10,28.99,14.1,2026-03-30
10028,Óculos de Sol UV,Óptica,Ray-Ban,184.4,85,10,89.99,99.4,2026-02-24
10029,Multivitamínico (60 cápsulas),Suplementos,Centrum,61.4,12,9,18.9,49.4,2026-05-08
10029,Óculos de Sol UV,Óptica,Ray-Ban,178.8,104,6,89.99,74.8,2026-02-05
10029,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,81.8,12,7,22.5,69.8,2026-05-08
10030,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,85.3,125,4,12.5,-39.7,2026-01-15
10030,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,64.0,61,6,28.99,3.0,2026-03-20
10031,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,43.6,32,6,12.5,11.6,2026-04-18
10031,Lentes de Contacto (30 unidades),Óptica,Acuvue,33.3,9,7,24.99,24.3,2026-05-11
10031,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,28.6,9,8,3.99,19.6,2026-05-11
10032,Desodorizante Antitranspirante,Higiene,Rexona,19.6,6,8,5.99,13.6,2026-05-14
10032,Gel Higienizante 500ml,Higiene,Marca Própria,29.8,24,5,4.99,5.8,2026-04-26
10033,Multivitamínico (60 cápsulas),Suplementos,Centrum,62.8,60,7,18.9,2.8,2026-03-21
10033,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,63.0,60,5,22.5,3.0,2026-03-21
10034,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,88.4,47,6,12.5,41.4,2026-04-03
10034,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,63.1,47,8,28.99,16.1,2026-04-03
10035,Multivitamínico (60 cápsulas),Suplementos,Centrum,59.3,20,8,18.9,39.3,2026-04-30
10035,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,59.3,20,8,22.5,39.3,2026-04-30
10036,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,136.3,52,8,12.5,84.3,2026-03-29
10036,Protetor Solar SPF50 75ml,Dermocosmética,Sunsan,95.4,52,11,15.99,43.4,2026-03-29
10036,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,28.4,28,9,3.99,0.4,2026-04-22
10036,Óculos de Sol UV,Óptica,Ray-Ban,171.4,149,6,89.99,22.4,2025-12-22
10037,Multivitamínico (60 cápsulas),Suplementos,Centrum,57.0,5,6,18.9,52.0,2026-05-15
10037,Ómega-3 (60 cápsulas),Suplementos,Nutrilite,75.3,64,4,22.5,11.3,2026-03-17
10038,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,41.5,40,3,12.5,1.5,2026-04-10
10038,Gel Higienizante 500ml,Higiene,Marca Própria,45.5,24,5,4.99,21.5,2026-04-26
10038,Lentes de Contacto (30 unidades),Óptica,Acuvue,26.0,24,8,24.99,2.0,2026-04-26
10038,Soro Fisiológico (Pack 20),Saúde Visual,Marca Própria,45.5,24,5,3.99,21.5,2026-04-26
10038,Tónico Facial 200ml,Dermocosmética,Wells Care,40.8,40,5,9.99,0.8,2026-04-10
10039,Creme Hidratante Facial 50ml,Dermocosmética,Wells Care,70.4,43,8,12.5,27.4,2026-04-07
10039,Desodorizante Antitranspirante,Higiene,Rexona,18.1,19,8,5.99,-0.9,2026-05-01
10039,Gel Higienizante 500ml,Higiene,Marca Própria,17.9,19,9,4.99,-1.1,2026-05-01
10039,Sérum Anti-Rugas 30ml,Dermocosmética,Wells Premium,54.8,43,10,28.99,11.8,2026-04-07
